,Unnamed: 0,smoothness_mean,compactness_mean,symmetry_mean,fractal_dimension_mean,texture_se,area_se,smoothness_se,compactness_se,concavity_se,concave points_se,symmetry_se,fractal_dimension_se,texture_worst,area_worst,smoothness_worst,compactness_worst,concavity_worst,concave points_worst,symmetry_worst,fractal_dimension_worst
58,58,0.0806,0.03789,0.1819,0.05501,1.214,32.96,0.007491,0.008593,0.000692,0.004167,0.0219,0.00299,22.25,624.1,0.1021,0.06191,0.001845,0.01111,0.2439,0.06289
429,429,0.07896,0.04522,0.1459,0.05544,0.8836,23.24,0.007337,0.01174,0.005383,0.005623,0.0194,0.00118,20.96,586.8,0.1068,0.09605,0.03469,0.03612,0.2165,0.06025
319,319,0.07557,0.03454,0.1472,0.05561,2.2,31.16,0.007357,0.01079,0.009959,0.0112,0.03433,0.002961,20.21,515.9,0.08409,0.04712,0.02237,0.02832,0.1901,0.05932
360,360,0.07436,0.0265,0.1528,0.05185,0.9527,28.3,0.005783,0.004693,0.0007929,0.003617,0.02043,0.001058,20.98,585.7,0.09293,0.04327,0.003581,0.01635,0.2233,0.05521
252,252,0.1062,0.1849,0.1733,0.06697,0.78,92.81,0.008482,0.05057,0.068,0.01971,0.01467,0.007259,25.59,1933.0,0.171,0.5955,0.8489,0.2507,0.2749,0.1297
226,226,0.1053,0.07722,0.1788,0.0645,0.9027,11.86,0.006513,0.008061,0.002817,0.004972,0.01502,0.002821,19.8,395.4,0.1341,0.1153,0.02639,0.04464,0.2615,0.08269
71,71,0.09783,0.1531,0.1902,0.0898,0.8522,25.44,0.01721,0.09368,0.05671,0.01766,0.02541,0.02193,15.67,284.4,0.1207,0.2436,0.1434,0.04786,0.2254,0.1084
309,309,0.08352,0.03735,0.1453,0.05518,0.8285,33.01,0.004148,0.004711,0.002831,0.004821,0.01422,0.002273,17.4,672.4,0.1016,0.05847,0.01824,0.03532,0.2107,0.0658
535,535,0.1046,0.1739,0.2127,0.06251,0.9901,87.78,0.004578,0.02616,0.04005,0.01421,0.01948,0.002689,25.48,1809.0,0.1268,0.3135,0.4433,0.2148,0.3077,0.07569
523,523,0.09916,0.107,0.1714,0.06843,1.249,26.45,0.006739,0.02251,0.02086,0.01352,0.0187,0.003747,25.63,701.9,0.1425,0.2566,0.1935,0.1284,0.2849,0.09031
110,110,0.1037,0.08404,0.1584,0.07065,1.424,22.87,0.01385,0.02932,0.02722,0.01023,0.03281,0.004638,21.47,367.0,0.1467,0.1765,0.13,0.05334,0.2533,0.08468
232,232,0.0778,0.03574,0.1845,0.05828,1.647,15.46,0.004359,0.006813,0.003223,0.003419,0.01916,0.002534,41.78,470.9,0.09994,0.06885,0.02318,0.03002,0.2911,0.07307
44,44,0.09714,0.1047,0.1746,0.06177,0.6123,14.49,0.00335,0.01384,0.01452,0.006853,0.01113,0.00172,29.89,740.7,0.1503,0.3904,0.3728,0.1607,0.3693,0.09618
392,392,0.116,0.1562,0.1929,0.06744,1.331,66.91,0.007269,0.02928,0.04972,0.01639,0.01852,0.004232,29.41,1359.0,0.1681,0.3913,0.5553,0.2121,0.3187,0.1019
268,268,0.09425,0.06219,0.201,0.05769,1.219,18.24,0.005518,0.02178,0.02589,0.00633,0.02593,0.002157,23.64,597.5,0.1256,0.1808,0.1992,0.0578,0.3604,0.07062
482,482,0.1071,0.1155,0.1779,0.06639,0.5733,12.84,0.00445,0.01452,0.01334,0.008791,0.01698,0.002787,18.32,660.2,0.1393,0.2499,0.1848,0.1335,0.3227,0.09326
487,487,0.1089,0.1448,0.1823,0.06115,1.408,67.74,0.005288,0.02833,0.04256,0.01176,0.01717,0.003211,30.39,1740.0,0.1514,0.3725,0.5936,0.206,0.3266,0.09009
414,414,0.0832,0.04605,0.1852,0.05294,1.627,45.38,0.006831,0.01427,0.02489,0.009087,0.03151,0.00175,36.91,931.4,0.1148,0.09866,0.1547,0.06575,0.3233,0.06165
513,513,0.09832,0.08918,0.1739,0.0564,0.6237,37.11,0.004953,0.01812,0.03035,0.008648,0.01539,0.002281,17.24,862.0,0.1223,0.1928,0.2492,0.09186,0.2626,0.07048
481,481,0.07991,0.05326,0.1579,0.05594,0.9264,28.41,0.003704,0.01082,0.0153,0.006275,0.01062,0.002217,26.42,830.5,0.1064,0.1415,0.1673,0.0815,0.2356,0.07603
413,413,0.08515,0.1025,0.1944,0.05913,1.336,28.51,0.004449,0.02808,0.03312,0.01196,0.01906,0.004015,31.55,867.1,0.1077,0.3345,0.3114,0.1308,0.3163,0.09251
111,111,0.09933,0.1209,0.1735,0.0707,1.803,20.48,0.01291,0.04042,0.05101,0.02295,0.02144,0.005891,25.47,527.4,0.1287,0.225,0.2216,0.1105,0.2226,0.08486
222,222,0.1061,0.08502,0.191,0.06908,1.217,15.05,0.007899,0.014,0.008534,0.007624,0.02637,0.003761,22.84,375.6,0.1406,0.144,0.06572,0.05575,0.3055,0.08797
276,276,0.09379,0.03872,0.1954,0.05821,1.28,17.09,0.008426,0.008998,0.001487,0.003333,0.02358,0.001627,18.99,458.0,0.1259,0.07348,0.004955,0.01111,0.2758,0.06386
208,208,0.1002,0.1483,0.185,0.0731,0.9223,15.09,0.005251,0.03041,0.02526,0.008304,0.02514,0.004198,29.16,639.3,0.1349,0.4402,0.3162,0.1126,0.4128,0.1076
105,105,0.1398,0.1765,0.1925,0.07692,0.9238,34.66,0.007162,0.02912,0.05473,0.01388,0.01547,0.007098,22.4,827.2,0.1862,0.4099,0.6376,0.1986,0.3147,0.1405
155,155,0.08654,0.06679,0.197,0.06228,0.9823,16.51,0.005518,0.01562,0.01994,0.007924,0.01799,0.002484,25.22,564.2,0.1217,0.1788,0.1943,0.08211,0.3113,0.08132
191,191,0.08749,0.06601,0.1694,0.06287,1.748,53.65,0.004571,0.0179,0.02176,0.01757,0.03373,0.005875,23.5,579.5,0.09388,0.08978,0.05186,0.04773,0.2179,0.06871
145,145,0.1152,0.1296,0.1995,0.07839,0.6538,25.03,0.01017,0.04741,0.02789,0.0111,0.03127,0.009423,16.51,509.6,0.1424,0.2517,0.0942,0.06042,0.2727,0.1036
540,540,0.09984,0.112,0.1818,0.06782,1.768,20.86,0.01215,0.04112,0.05553,0.01494,0.0184,0.005512,19.68,457.8,0.1345,0.2118,0.1797,0.06918,0.2329,0.08134
148,148,0.0997,0.1021,0.1724,0.06081,0.7394,21.2,0.005706,0.02297,0.03114,0.01493,0.01454,0.002528,19.85,766.9,0.1316,0.2735,0.3103,0.1599,0.2691,0.07683
334,334,0.08313,0.04202,0.1539,0.05945,1.532,13.24,0.007881,0.008432,0.007004,0.006522,0.01939,0.002222,28.46,544.3,0.1222,0.09052,0.03619,0.03983,0.2554,0.07207
75,75,0.09168,0.08424,0.1798,0.05391,1.016,79.25,0.01082,0.02203,0.035,0.01809,0.0155,0.001948,24.56,1223.0,0.15,0.2045,0.2829,0.152,0.265,0.06387
373,373,0.09446,0.1076,0.1571,0.05478,0.6575,77.02,0.006211,0.01895,0.02681,0.01232,0.01276,0.001711,23.17,1946.0,0.1562,0.3055,0.4159,0.2112,0.2689,0.07055
277,277,0.08923,0.05884,0.155,0.04996,0.828,36.74,0.007571,0.01114,0.02623,0.01463,0.0193,0.001676,24.3,1236.0,0.1243,0.116,0.221,0.1294,0.2567,0.05737
494,494,0.07335,0.05275,0.1713,0.05888,1.473,26.07,0.007802,0.02052,0.01341,0.005564,0.02086,0.002701,28.46,648.3,0.1118,0.1646,0.07698,0.04195,0.2687,0.07429
129,129,0.1015,0.1589,0.2202,0.06113,1.199,63.33,0.005033,0.03179,0.04755,0.01043,0.01578,0.003224,33.58,1589.0,0.1275,0.3861,0.5673,0.1732,0.3305,0.08465
165,165,0.08421,0.05352,0.1515,0.05266,1.065,16.64,0.003634,0.007983,0.008268,0.006432,0.01924,0.00152,25.82,782.1,0.1045,0.09995,0.0775,0.05754,0.2646,0.06085
422,422,0.1088,0.1168,0.1886,0.0632,0.7339,15.89,0.005884,0.02005,0.02631,0.01304,0.01848,0.001982,19.67,475.7,0.1415,0.217,0.2302,0.1105,0.2787,0.07427
136,136,0.1051,0.06095,0.1339,0.05945,2.508,34.37,0.006578,0.0138,0.02662,0.01307,0.01359,0.003707,25.48,546.7,0.1271,0.1028,0.1046,0.06968,0.1712,0.07343
545,545,0.09246,0.06747,0.1664,0.05801,1.336,31.24,0.005868,0.02099,0.02021,0.009064,0.02087,0.002583,29.09,729.8,0.1216,0.1517,0.1049,0.07174,0.2642,0.06953
475,475,0.0904,0.08269,0.1705,0.05913,0.4875,11.64,0.004873,0.01796,0.03318,0.00836,0.01601,0.002289,19.35,605.8,0.1326,0.261,0.3476,0.09783,0.3006,0.07802
282,282,0.1037,0.1442,0.1893,0.05892,0.9951,53.16,0.005654,0.02199,0.03059,0.01499,0.01623,0.001965,28.65,1628.0,0.1518,0.3749,0.4316,0.2252,0.359,0.07787
153,153,0.09754,0.05113,0.183,0.06105,0.7815,15.48,0.009019,0.008985,0.01196,0.008232,0.02388,0.001619,16.3,440.8,0.1341,0.08971,0.07116,0.05506,0.2859,0.06772
278,278,0.07948,0.04052,0.1573,0.0552,1.166,22.22,0.003741,0.005274,0.01065,0.005044,0.01344,0.001126,26.1,739.1,0.105,0.07622,0.106,0.05185,0.2335,0.06263
485,485,0.09514,0.1511,0.2082,0.07325,1.207,30.19,0.007234,0.07471,0.1114,0.02721,0.03232,0.009627,21.03,580.6,0.1175,0.4061,0.4896,0.1342,0.3231,0.1034
441,441,0.08331,0.1109,0.1467,0.05407,1.679,58.38,0.008109,0.04308,0.04942,0.01742,0.01594,0.003739,35.46,1284.0,0.1436,0.4122,0.5036,0.1739,0.25,0.07944
